Date,Price,Dividend,Earnings,CPI,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns
1875-01-01,4.54,0.3275,0.4517,11.51265124,1875.041666666663,5.07,124.49157280299931,8.98039429360843,159.94949704684103,12.386088862360086,15.91391802115817,,,,1.0073431926888408,1.3693116973597868,0.0892083982740628,0.08972112928294762,-0.0005127310088848258
1875-02-01,4.53,0.325,0.4433,11.51265124,1875.1249999999964,5.03,124.21736229021738,8.911841665412947,160.55136281216045,12.155752031623258,15.711350802346738,,,,1.007315568235935,1.3793668170045832,0.09146378058280402,0.08811211747288672,0.003351663109917302
1875-03-01,4.59,0.3225,0.435,11.51265124,1875.2083333333296,4.99,125.86262536690899,8.843289037217463,163.63036935615742,11.928157306014251,15.50745330499531,,,,1.0072879584453418,1.3894576690767646,0.09275612529953525,0.0902541770867007,0.0025019482128345594
1875-04-01,4.65,0.32,0.4267,11.60773554,1875.2916666666629,4.95,126.46341269074092,8.702858507749912,165.35429690873352,11.604717891427775,15.173479245367009,,,,1.0072603633605304,1.3881193428160883,0.09069527484105921,0.08952962295902567,0.001165651882033547
1875-05-01,4.47,0.3175,0.4183,11.32232066,1875.3749999999961,4.91,124.63256185503585,8.85253655234315,163.9249878114941,11.663042645181543,15.34000501153199,,,,1.0072327830251093,1.433443583424613,0.0935165790382042,0.08899258683421118,0.004523992203993021
1875-06-01,4.38,0.315,0.41,11.13207107,1875.4583333333294,4.87,124.21029396104998,8.932932099938526,164.3486917401155,11.626990987221575,15.384238267910357,,,,1.0072052174828279,1.468486429803929,0.09591444406506877,0.08938360406139712,0.006530840003671656
1875-07-01,4.39,0.3125,0.4017,11.13207107,1875.5416666666626,4.83,124.49387910707978,8.862035813431078,165.7010663439511,11.391615316016845,15.1622137472358,,,,1.0071776667775758,1.4790671939012479,0.09826006026682466,0.08772544482871258,0.010534615438112072
1875-08-01,4.41,0.31,0.3933,11.22715537,1875.624999999996,4.79,124.00189042720983,8.71668617515534,166.01305464607253,11.058944105447079,14.805654057210957,,,,1.0071501309533841,1.4770671144241894,0.10457179338880329,0.08829836215479658,0.016273431234006708
1875-09-01,4.37,0.3075,0.385,11.13207107,1875.7083333333292,4.75,123.92670881502019,8.720243240416181,166.88528642147327,10.918028122147089,14.702708300289979,,,,1.0071226100544257,1.5003348770741327,0.10440819145589164,0.08832540736684091,0.016082784089050728
1875-10-01,4.3,0.305,0.3767,11.13207107,1875.7916666666624,4.710000000000001,121.94161279281163,8.649346953908733,165.1827000706821,10.682652450942358,14.47077281781999,,,,1.0070951041250158,1.5110211773545867,0.1122718302690342,0.08797672773658127,0.024295102532452928
