Date,Price,Dividend,Earnings,Date_Fraction,GS10,Real_Price,Real_Dividend,RTR_Price,Real_Earnings,Real_TR_Earnings,CAPE,TR_CAPE,Excess_CAPE_Yield,Month_total_bond_Returns,Real_month_bond_Returns,10Y_stock_returns,10Y_bond_returns,Real_10Y_excess_Returns,ReturnVol,BondVol,SVAR,TBL,DFY,DFR,CPI,Real_10Y_Yield
1971-03-01,99.6,3.11,5.22,1971.2083333332423,5.7,786.0656100000001,24.544819750000006,120876.37871969979,41.19741450000001,6335.087318442098,17.402902607188874,20.26160315815176,0.030336339371474175,0.9949771575635821,12.03499476112233,-0.008753428056459622,-0.04690644644545472,0.0381530183889951,0.9732407849215772,0.0030347280604379238,238.13005199999998,0.013,1.2500000000000009,2.7600000000000007,4.712041884816753,0.0246416354836102
1971-04-01,103.0,3.10667,5.25333,1971.2916666665756,5.83,810.871995012469,24.457395152867832,125004.36251825764,41.357069685037416,6375.622987845033,17.924110447959603,20.87548533471234,0.027622614301182645,0.9638031448454738,11.94468317078713,-0.011471603257818375,-0.04869595027656315,0.037224347018744774,0.9592060687356878,0.003903373482399197,231.99917200000002,0.013,1.1999999999999993,2.619999999999999,4.155844155844157,0.0266529168754343
1971-05-01,101.6,3.10333,5.28667,1971.3749999999088,6.39,795.8809528535982,24.309854699007452,123005.63869042053,41.41299170297768,6400.494290309897,17.564153279699376,20.46389114726461,0.023678614175411623,0.9958493324598875,11.455190086548795,-0.012261023454120168,-0.04650653876972488,0.03424551531560471,0.902492091354441,0.004506191416557138,208.6807,0.015,1.089999999999999,2.2299999999999995,4.404145077720201,0.0329977368649162
1971-06-01,99.72,3.1,5.32,1971.458333333242,6.52,775.3819477832513,24.104332512315274,120147.90919157474,41.36614482758622,6409.81625450439,17.0831668800707,19.911939063113657,0.024746298795041727,0.9902684780880032,11.323350469357061,-0.009966835847881494,-0.041937497891791575,0.03197066204391008,0.7044760498681204,0.004552309152937297,128.261802,0.017,1.1100000000000003,2.2300000000000004,4.6391752577319645,0.0336739319673288
1971-07-01,99.0,3.09667,5.35667,1971.5416666665753,6.73,767.8921621621623,24.019279008108114,119297.49832186163,41.548938467567574,6454.922528644106,16.889414708693355,19.694941690150507,0.02288173915191668,1.016512680598808,11.185606281758727,-0.012361256495427297,-0.044890131515096465,0.03252887501966917,0.6517351233184574,0.004223855305965645,112.20312,0.019,1.12,2.0299999999999994,4.358974358974366,0.0336538171339366
1971-08-01,97.24,3.09333,5.39333,1971.6249999999086,6.58,752.3921166666669,23.934565058088243,117199.32327466915,41.73075868553923,6500.356090055238,16.519449443051556,19.273018870882748,0.02630516570842717,1.0381033092028704,11.34244221719737,-0.010566792316608509,-0.04907665997199462,0.03850986765538611,0.6090416621912669,0.003964196623056035,96.162756,0.021,1.17,2.1799999999999997,4.615384615384599,0.0334735359661062
1971-09-01,99.4,3.09,5.43,1971.7083333332419,6.14,769.1050637254905,23.90879926470589,120113.03536862755,42.014491911764715,6561.506861686595,16.856792547835994,19.674910494388264,0.02914935363737997,1.02083268481494,11.774626800114932,-0.02245774415799473,-0.054197352679455246,0.031739608521460516,0.6350605902323798,0.0035523476881157497,103.858356,0.017,1.1499999999999995,2.45,4.081632653061207,0.0277363267712941
1971-10-01,97.29,3.08333,5.52,1971.791666666575,5.93,750.9384550122252,23.798859764547686,117585.63848507393,42.60643716381419,6671.525587805612,16.428862709159468,19.184397344751748,0.03304704610417141,1.0139708836443282,11.990535322089366,-0.018905454566532698,-0.05410987093452768,0.035204416367994984,0.615547524319205,0.0030089035020378287,96.586628,0.017,1.0900000000000007,2.5500000000000007,3.8071065989847774,0.0268859003034517
1971-11-01,92.78,3.07667,5.61,1971.8749999999084,5.81,716.1277608801959,23.747454171882648,112444.68313812638,43.30110733496334,6799.037210658428,15.638712654326643,18.271922182649185,0.03732244230990707,0.9958610848676532,12.158053695907483,-0.011864829171232438,-0.04590660889452214,0.0340417797232897,0.6153810405984718,0.0028385012073101814,96.039903,0.018,1.120000000000001,2.570000000000001,3.282828282828265,0.0264116482834251
1971-12-01,99.17,3.07,5.7,1971.9583333332416,5.93,761.7245287104624,23.58066253041363,119912.72782718948,43.78168613138687,6892.231003478673,16.603557212925335,19.40582940106708,0.03290990169479015,1.003446248011016,12.048814136947962,-0.017358370037446225,-0.04598960399653418,0.028631233959087954,0.6437319350443269,0.0023618035707907744,104.66011900000001,0.017,1.1300000000000008,2.450000000000001,3.266331658291466,0.0286515031142666
